,Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
106,,,,,Non-specified,,,,,,,,,,,,,,,,0.346479992255568,0.149629996655509,0.0787099982406944,0.00153999996557832,0.000629999985918403,0.379349991520867,0.116999997384846,7.99999982118607e-05,,,,,,,,,,,,,,,,
107,,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.669500009976327
108,,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7811296919677
109,,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,
110,,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
111,,,,,Other prescription medicines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.450809989923611,0.220039995081723,0.712159984081984,0.458789989745244,0.196729995602742,,0.229669994866475,,
112,,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13907.0,,
113,,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00800000011920929,10.5940001578629,1.58755002365634,,33.1232004935741,56.9785508490466,
114,,,,,Plant-based NPS,,,,,,,,,,,,,10.0,,,,,,,,,,,,,10.0,,,436.14,316.65,284.625,923.642,1305.0,3129.0,2124.0,,10880.0,2570.0,
115,,,,,Poppy plants,,,,,,,,,,,,,,6400.0,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,Tunisia,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,7.0095,1.4705,,,,,,,,,,,,,,,
117,,,,,Non-specified ATS,,,,,,0.29475,,,,,,,,,,,0.00075,,,,,,,,,,1.68175,,,,11.363,,4.3215,,8.62425,16.04575,,,
118,,,,Cocaine,"Cocaine (base, paste and salts)",,,0.00400000018998981,,,,,,9.375,,,0.850000023841858,6.27699995040894,,,,0.00100000004749745,0.0469999983906746,0.127000004053116,0.017,,,1.055,0.54,1.005,0.03,29.667,23.1,,,,,,,,,,,
119,,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,29.997,,,,29.082,,1.572,,1.452,0.001123,36.0,70.0,9.0
120,,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,0.0149999996647239,,,,,,,,,,,,,,,,,,,,,,,,,1.08942,,2.092662
121,,,,Hashish (resin),Hashish (resin),9.0,0.189999997615814,1.0,9.1899995803833,0.307000011205673,15.3000001907349,139.070007324219,64.3059997558594,22.3999996185303,408.785003662109,177.0,240.90299987793,403.735992431641,130.669998168945,297.305999755859,170.197998046875,555.161987304688,201.074005126953,806.323974609375,1893.381,536.684,1288.877,977.73,539.886,2310.942,529.408,222.532,616.997,,,,,,,,,34.0,759.0,779.0
122,,,,Heroine and Morphine,Heroin,,,,6.07200002670288,,0.0020000000949949,10.121000289917,0.181999996304512,,2.69400000572205,,0.179000005125999,3.64800000190735,0.546000003814697,0.703000009059906,5.0,4.57499980926514,0.30799999833107,0.474000006914139,1.391,1.02,,0.254,,,0.028,,,,,7.08,,,,0.0001,1.7,0.27,1.4,1.3
123,,,,,Illicit morphine,,,,,,,0.0860000029206276,0.0020000000949949,,0.00150000002235174,,,,,,,,,,,,,,,0.00642,,0.000100000001490116,,,,,,,,,,,,
124,,,,Marijuana (herb),Marijuana (herb),,6.0,168.0,5.83599996566772,80.8499984741211,36.0,34.0460014343262,6.03599977493286,29.8500003814697,2.29999995231628,7.0,0.0160000007599592,1.71800005435944,42.3170013427734,1.08399999141693,3.86500000953674,0.0659999996423721,18.1630001068115,2.0,,,,,,,,,,,,,,,,,,0.283,,376.281
125,,,,Opium,Opium,,,0.0390000008046627,,,,,,,,,,,,0.028999999165535,13.0,,,,,0.017,,,,,,,,,,,,,,,,,,
126,,,,Other drugs,Cannabis oil,,0.0160000007599592,,,,,,0.104999996721745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,Cannabis plants,150.4,6.6,34.8,,,25.5,,87.0,6.6,114.9,,4.0,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,Cannabis seed,0.00252999994345009,0.0020000000949949,,,0.0850000008940697,,,,0.00999999977648258,,,0.0149999996647239,,,0.00499999988824129,0.0949999988079071,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,Depressants (excluding Methaqualone),,0.00300000002607703,0.0112799997478724,0.00311999993026257,0.000979999978095293,,0.0400099991057068,0.00480999989248812,,0.145289996752515,,,,,0.0340499992389232,0.136639996945858,0.0432999990321696,,0.0443899990078062,,,,,,0.0852799980938435,0.22794999490492,0.0672699984963983,,,,,,,,,,,,
